pa, pp, ta, tp
the pilot wrapped the knife .,the knife was wrapped by the pilot .,an attorney keeps a cup .,a cup is kept by an attorney .
the reader beat the wife .,the wife was beaten by the reader .,a leader asks a mayor .,a mayor is asked by a leader .
the boy forgot the pie .,the pie was forgotten by the boy .,a professor collects a salad .,a salad is collected by a professor .
a king embraces an employee .,an employee is embraced by a king .,the lawyer drank the beer .,the beer was drunk by the lawyer .
an aunt discovers a beer .,a beer is discovered by an aunt .,the actor bothered the lady .,the lady was bothered by the actor .
the cousin kissed the captain .,the captain was kissed by the cousin .,a parent selects a beer .,a beer is selected by a parent .
the woman teaches the opponent .,the opponent is taught by the woman .,a champion forgot a tea .,a tea was forgotten by a champion .
a husband chased a prince .,a prince was chased by a husband .,the chief strikes the actor .,the actor is struck by the chief .
the professor removes the knife .,the knife is removed by the professor .,a king wanted a coffee .,a coffee was wanted by a king .
a physician teaches a husband .,a husband is taught by a physician .,the brother kissed the sheriff .,the sheriff was kissed by the brother .
the kid helped the attorney .,the attorney was helped by the kid .,an author strikes a pilot .,a pilot is struck by an author .
the reader discovers the anchor .,the anchor is discovered by the reader .,a nurse raised a juice .,a juice was raised by a nurse .
the wife surprised the boy .,the boy was surprised by the wife .,a nurse carries a chocolate .,a chocolate is carried by a nurse .
the author discovered the tea .,the tea was discovered by the author .,an employer helps a soldier .,a soldier is helped by an employer .
the administration wants the card .,the card is wanted by the administration .,a physician chased a candidate .,a candidate was chased by a physician .
the band helped the mother .,the mother was helped by the band .,a colonel drinks a juice .,a juice is drunk by a colonel .
the professor punches the winner .,the winner is punched by the professor .,a parent bothered a business .,a business was bothered by a parent .
a nurse left an instrument .,an instrument was left by a nurse .,the buddy forgives the company .,the company is forgiven by the buddy .
the writer tasted the meal .,the meal was tasted by the writer .,a soldier bothers a king .,a king is bothered by a soldier .
an army protected a physician .,a physician was protected by an army .,the father catches the juice .,the juice is caught by the father .
a son punches a buddy .,a buddy is punched by a son .,the guest hurt the writer .,the writer was hurt by the guest .
a parent teaches an aunt .,an aunt is taught by a parent .,the singer broke the instrument .,the instrument was broken by the singer .
a brother removes a plate .,a plate is removed by a brother .,the administration used the gun .,the gun was used by the administration .
the writer washed the chief .,the chief was washed by the writer .,a man prepares a candy .,a candy is prepared by a man .
the captain struck the lady .,the lady was struck by the captain .,a cousin hurries a guy .,a guy is hurried by a cousin .
the singer followed the administration .,the administration was followed by the singer .,a father washes a princess .,a princess is washed by a father .
a chief judges a company .,a company is judged by a chief .,the lady destroyed the bowl .,the bowl was destroyed by the lady .
a chief eats a candy .,a candy is eaten by a chief .,the attorney chased the daughter .,the daughter was chased by the attorney .
a bishop surprised a guy .,a guy was surprised by a bishop .,the leader smells the candy .,the candy is smelled by the leader .
the actress caught the beer .,the beer was caught by the actress .,a student protects a man .,a man is protected by a student .
the winner forgave the business .,the business was forgiven by the winner .,a manager prepares a newspaper .,a newspaper is prepared by a manager .
an administration purchases a crystal .,a crystal is purchased by an administration .,the father kept the newspaper .,the newspaper was kept by the father .
an actress surprised a captain .,a captain was surprised by an actress .,the friend teaches the uncle .,the uncle is taught by the friend .
a doctor understood an opponent .,an opponent was understood by a doctor .,the worker carries the anchor .,the anchor is carried by the worker .
a husband breaks a coat .,a coat is broken by a husband .,the business used the key .,the key was used by the business .
a colonel bothers a secretary .,a secretary is bothered by a colonel .,the manager beat the sheriff .,the sheriff was beaten by the manager .
an opponent wanted a television .,a television was wanted by an opponent .,the cop smells the juice .,the juice is smelled by the cop .
the wife followed the writer .,the writer was followed by the wife .,a doctor hurries a secretary .,a secretary is hurried by a doctor .
a buddy hurries a worker .,a worker is hurried by a buddy .,the mother wrapped the computer .,the computer was wrapped by the mother .
the student describes the card .,the card is described by the student .,an actress grabbed a colonel .,a colonel was grabbed by an actress .
the child bothered the teacher .,the teacher was bothered by the child .,a sheriff leads a business .,a business is led by a sheriff .
a woman removes a button .,a button is removed by a woman .,the sheriff prepared the tea .,the tea was prepared by the sheriff .
an actress kisses a sheriff .,a sheriff is kissed by an actress .,the colonel collected the knife .,the knife was collected by the colonel .
a lawyer drags a camera .,a camera is dragged by a lawyer .,the opponent followed the company .,the company was followed by the opponent .
a physician collects a bowl .,a bowl is collected by a physician .,the wife hurt the captain .,the captain was hurt by the wife .
the father smells the beer .,the beer is smelled by the father .,a winner led a corporation .,a corporation was led by a winner .
a prince asks a daughter .,a daughter is asked by a prince .,the friend kissed the soldier .,the soldier was kissed by the friend .
a president embraces a man .,a man is embraced by a president .,the sheriff broke the guitar .,the guitar was broken by the sheriff .
a singer washed a reader .,a reader was washed by a singer .,the boy collects the pie .,the pie is collected by the boy .
the opponent comforted the scientist .,the scientist was comforted by the opponent .,a candidate destroys a sheriff .,a sheriff is destroyed by a candidate .
the physician collected the button .,the button was collected by the physician .,a wife punches a pilot .,a pilot is punched by a wife .
the bishop destroys the beer .,the beer is destroyed by the bishop .,an uncle beat a brother .,a brother was beaten by an uncle .
a band wants a tea .,a tea is wanted by a band .,the brother bothered the boy .,the boy was bothered by the brother .
an actress judged a corporation .,a corporation was judged by an actress .,the soldier destroys the pot .,the pot is destroyed by the soldier .
a prince joins a candidate .,a candidate is joined by a prince .,the employee forgave the corporation .,the corporation was forgiven by the employee .
the doctor smelled the newspaper .,the newspaper was smelled by the doctor .,a sheriff prepares a ball .,a ball is prepared by a sheriff .
a son caught a daughter .,a daughter was caught by a son .,the author wants the cheese .,the cheese is wanted by the author .
the professor beat the winner .,the winner was beaten by the professor .,a lawyer bothers a sheriff .,a sheriff is bothered by a lawyer .
a girl hurt an army .,an army was hurt by a girl .,the doctor drinks the coffee .,the coffee is drunk by the doctor .
the adult washed the telephone .,the telephone was washed by the adult .,a girl grabs a chocolate .,a chocolate is grabbed by a girl .
the president drinks the juice .,the juice is drunk by the president .,a father prepared a key .,a key was prepared by a father .
the princess taught the king .,the king was taught by the princess .,a lady bothers a buddy .,a buddy is bothered by a lady .
a writer accepts a bag .,a bag is accepted by a writer .,the scientist forgot the bishop .,the bishop was forgotten by the scientist .
the winner tasted the salad .,the salad was tasted by the winner .,a partner strikes a guest .,a guest is struck by a partner .
the teacher collected the tea .,the tea was collected by the teacher .,a lady kills a girl .,a girl is killed by a lady .
a colonel taught a child .,a child was taught by a colonel .,the soldier collects the tea .,the tea is collected by the soldier .
the guy describes the chief .,the chief is described by the guy .,a singer chased a company .,a company was chased by a singer .
an employer protects a guest .,a guest is protected by an employer .,the wife kissed the singer .,the singer was kissed by the wife .
the lady protects the winner .,the winner is protected by the lady .,a sheriff tasted a salad .,a salad was tasted by a sheriff .
the colonel forgets the candidate .,the candidate is forgotten by the colonel .,a professor bothered a corporation .,a corporation was bothered by a professor .
the girl catches the glass .,the glass is caught by the girl .,an employer prepared a pie .,a pie was prepared by an employer .
the hero helps the opponent .,the opponent is helped by the hero .,a sheriff bothered a company .,a company was bothered by a sheriff .
an author tasted a candy .,a candy was tasted by an author .,the guest protects the princess .,the princess is protected by the guest .
the employee understood the boy .,the boy was understood by the employee .,an opponent selects a juice .,a juice is selected by an opponent .
a princess left a cigarette .,a cigarette was left by a princess .,the pilot chases the minister .,the minister is chased by the pilot .
a pilot taught a brother .,a brother was taught by a pilot .,the priest discovers the beer .,the beer is discovered by the priest .
a mayor purchases a tea .,a tea is purchased by a mayor .,the reader hurt the administration .,the administration was hurt by the reader .
the princess leaves the bowl .,the bowl is left by the princess .,a mother protected a lady .,a lady was protected by a mother .
an employee described a juice .,a juice was described by an employee .,the candidate prepares the gun .,the gun is prepared by the candidate .
a cousin selected a salad .,a salad was selected by a cousin .,the hero prepares the meal .,the meal is prepared by the hero .
the opponent hurries the physician .,the physician is hurried by the opponent .,a candidate smelled a meal .,a meal was smelled by a candidate .
the leader kills the lawyer .,the lawyer is killed by the leader .,a kid understood a soldier .,a soldier was understood by a kid .
a mayor described a cousin .,a cousin was described by a mayor .,the winner prepares the television .,the television is prepared by the winner .
the child embraced the kid .,the kid was embraced by the child .,an employee smells a tea .,a tea is smelled by an employee .
an author punches a scientist .,a scientist is punched by an author .,the winner taught the bishop .,the bishop was taught by the winner .
the nurse beats the candidate .,the candidate is beaten by the nurse .,a wife comforted a mayor .,a mayor was comforted by a wife .
the nurse protects the actress .,the actress is protected by the nurse .,a writer judged an army .,an army was judged by a writer .
the cop left the bell .,the bell was left by the cop .,a teacher beats a president .,a president is beaten by a teacher .
an attorney forgives a band .,a band is forgiven by an attorney .,the wife caught the tea .,the tea was caught by the wife .
a priest asked a club .,a club was asked by a priest .,the man follows the daughter .,the daughter is followed by the man .
a buddy caught a jacket .,a jacket was caught by a buddy .,the actress collects the beer .,the beer is collected by the actress .
a manager followed a husband .,a husband was followed by a manager .,the writer accepts the machine .,the machine is accepted by the writer .
a secretary surprises a guy .,a guy is surprised by a secretary .,the professor comforted the mother .,the mother was comforted by the professor .
a sheriff raised a juice .,a juice was raised by a sheriff .,the boy teaches the worker .,the worker is taught by the boy .
the lady leads the corporation .,the corporation is led by the lady .,a president killed a boy .,a boy was killed by a president .
a colonel smells a ball .,a ball is smelled by a colonel .,the soldier removed the hat .,the hat was removed by the soldier .
the doctor kisses the opponent .,the opponent is kissed by the doctor .,a teacher judged a friend .,a friend was judged by a teacher .
a son teaches a worker .,a worker is taught by a son .,the winner tasted the pie .,the pie was tasted by the winner .
a son grabbed a priest .,a priest was grabbed by a son .,the prince eats the salad .,the salad is eaten by the prince .
the hero grabbed the beer .,the beer was grabbed by the hero .,a sheriff leads an army .,an army is led by a sheriff .
the king smells the bowl .,the bowl is smelled by the king .,an employer led a business .,a business was led by an employer .
a woman punches a reader .,a reader is punched by a woman .,the parent bothered the actor .,the actor was bothered by the parent .
the scientist kisses the soldier .,the soldier is kissed by the scientist .,a pilot destroyed a cheese .,a cheese was destroyed by a pilot .
the cop hurt the mayor .,the mayor was hurt by the cop .,a scientist surprises a singer .,a singer is surprised by a scientist .
a student follows a professor .,a professor is followed by a student .,the chief judged the boy .,the boy was judged by the chief .
a sheriff understands a soldier .,a soldier is understood by a sheriff .,the adult followed the administration .,the administration was followed by the adult .
an actor eats a cheese .,a cheese is eaten by an actor .,the author hurried the student .,the student was hurried by the author .
a child embraces a mother .,a mother is embraced by a child .,the champion dragged the crystal .,the crystal was dragged by the champion .
a girl follows an administration .,an administration is followed by a girl .,the minister washed the engine .,the engine was washed by the minister .
a prince hurries a winner .,a winner is hurried by a prince .,the mayor grabbed the coffee .,the coffee was grabbed by the mayor .
a son follows a club .,a club is followed by a son .,the winner purchased the flower .,the flower was purchased by the winner .
an actress punched a partner .,a partner was punched by an actress .,the doctor smells the chicken .,the chicken is smelled by the doctor .
the parent forgave the king .,the king was forgiven by the parent .,a singer discovers a box .,a box is discovered by a singer .
a writer helps a partner .,a partner is helped by a writer .,the secretary taught the mayor .,the mayor was taught by the secretary .
a president comforts a cousin .,a cousin is comforted by a president .,the secretary left the book .,the book was left by the secretary .
the guy purchases the card .,the card is purchased by the guy .,a mother followed a writer .,a writer was followed by a mother .
a soldier describes a daughter .,a daughter is described by a soldier .,the cop left the knife .,the knife was left by the cop .
the guest protected the mother .,the mother was protected by the guest .,an author joins a lady .,a lady is joined by an author .
the reader comforts the woman .,the woman is comforted by the reader .,a king surprised a soldier .,a soldier was surprised by a king .
the woman embraces the daughter .,the daughter is embraced by the woman .,a winner hurt a company .,a company was hurt by a winner .
a scientist chases a company .,a company is chased by a scientist .,the father ate the cheese .,the cheese was eaten by the father .
a manager forgot a juice .,a juice was forgotten by a manager .,the writer selects the motor .,the motor is selected by the writer .
a teacher chases a candidate .,a candidate is chased by a teacher .,the lawyer ate the salad .,the salad was eaten by the lawyer .
the president raises the anchor .,the anchor is raised by the president .,a lady surprised a professor .,a professor was surprised by a lady .
the partner wraps the button .,the button is wrapped by the partner .,a lawyer beat an employee .,an employee was beaten by a lawyer .
a candidate killed a president .,a president was killed by a candidate .,the scientist embraces the soldier .,the soldier is embraced by the scientist .
an adult destroys a pot .,a pot is destroyed by an adult .,the minister carried the cup .,the cup was carried by the minister .
the parent dragged the lawyer .,the lawyer was dragged by the parent .,a leader strikes a lady .,a lady is struck by a leader .
the buddy kills the pilot .,the pilot is killed by the buddy .,a cop accepted a card .,a card was accepted by a cop .
the son struck the reader .,the reader was struck by the son .,a chief washes a wife .,a wife is washed by a chief .
the guest teaches the mayor .,the mayor is taught by the guest .,an uncle followed a wife .,a wife was followed by an uncle .
the aunt understood the mother .,the mother was understood by the aunt .,a president asks a band .,a band is asked by a president .
the father purchases the flower .,the flower is purchased by the father .,a worker struck a doctor .,a doctor was struck by a worker .
a buddy caught a candy .,a candy was caught by a buddy .,the business keeps the juice .,the juice is kept by the business .
the scientist described the student .,the student was described by the scientist .,a son judges an administration .,an administration is judged by a son .
the winner beat the student .,the student was beaten by the winner .,a worker grabs a beer .,a beer is grabbed by a worker .
the teacher surprised the aunt .,the aunt was surprised by the teacher .,an attorney smells a juice .,a juice is smelled by an attorney .
an employer chases a corporation .,a corporation is chased by an employer .,the chief used the book .,the book was used by the chief .
the leader tastes the salad .,the salad is tasted by the leader .,a scientist hurt a club .,a club was hurt by a scientist .
the employee comforted the professor .,the professor was comforted by the employee .,a princess removes a jacket .,a jacket is removed by a princess .
an actor ate a chicken .,a chicken was eaten by an actor .,the parent strikes the brother .,the brother is struck by the parent .
the brother judged the guy .,the guy was judged by the brother .,a secretary hurries a worker .,a worker is hurried by a secretary .
the minister left the knife .,the knife was left by the minister .,a friend leads an administration .,an administration is led by a friend .
a cop accepts an anchor .,an anchor is accepted by a cop .,the corporation protected the girl .,the girl was protected by the corporation .
a candidate describes a daughter .,a daughter is described by a candidate .,the attorney followed the buddy .,the buddy was followed by the attorney .
the nurse hurried the candidate .,the candidate was hurried by the nurse .,a wife selects a mayor .,a mayor is selected by a wife .
the guest surprises the reader .,the reader is surprised by the guest .,a parent dragged an instrument .,an instrument was dragged by a parent .
the club wanted the candy .,the candy was wanted by the club .,an administration uses a key .,a key is used by an administration .
the professor followed the hero .,the hero was followed by the professor .,a minister keeps a beer .,a beer is kept by a minister .
a scientist killed a singer .,a singer was killed by a scientist .,the leader strikes the guest .,the guest is struck by the leader .
an employer described a computer .,a computer was described by an employer .,the teacher leaves the glass .,the glass is left by the teacher .
a girl hurt an army .,an army was hurt by a girl .,the adult collects the juice .,the juice is collected by the adult .
a writer removed a glass .,a glass was removed by a writer .,the priest understands the opponent .,the opponent is understood by the priest .
a singer raised a nurse .,a nurse was raised by a singer .,the father describes the pie .,the pie is described by the father .
a company wants a beer .,a beer is wanted by a company .,the son wrapped the cup .,the cup was wrapped by the son .
the captain comforted the student .,the student was comforted by the captain .,a wife follows a business .,a business is followed by a wife .
the father forgave the mayor .,the mayor was forgiven by the father .,a wife asks a band .,a band is asked by a wife .
the employer teaches the guest .,the guest is taught by the employer .,a priest hurt an administration .,an administration was hurt by a priest .
a boy purchased a coffee .,a coffee was purchased by a boy .,the uncle raises the meal .,the meal is raised by the uncle .
an opponent raised a coffee .,a coffee was raised by an opponent .,the nurse selects the gun .,the gun is selected by the nurse .
an administration purchased a chicken .,a chicken was purchased by an administration .,the man forgives the business .,the business is forgiven by the man .
the singer smells the beer .,the beer is smelled by the singer .,a king judged a colonel .,a colonel was judged by a king .
an aunt leaves a camera .,a camera is left by an aunt .,the worker grabbed the president .,the president was grabbed by the worker .
a kid follows a lawyer .,a lawyer is followed by a kid .,the priest killed the opponent .,the opponent was killed by the priest .
a prince asks a club .,a club is asked by a prince .,the colonel forgot the cup .,the cup was forgotten by the colonel .
the guy beat the cousin .,the cousin was beaten by the guy .,a wife helps a leader .,a leader is helped by a wife .
a partner tastes a pie .,a pie is tasted by a partner .,the hero struck the adult .,the adult was struck by the hero .
the opponent tasted the candy .,the candy was tasted by the opponent .,a parent carries a sheriff .,a sheriff is carried by a parent .
the priest discovers the pie .,the pie is discovered by the priest .,a soldier forgot a cheese .,a cheese was forgotten by a soldier .
a king strikes a cousin .,a cousin is struck by a king .,the cop accepted the log .,the log was accepted by the cop .
the actor purchases the salad .,the salad is purchased by the actor .,a wife selected a coat .,a coat was selected by a wife .
the wife removed the bowl .,the bowl was removed by the wife .,an employee wraps a button .,a button is wrapped by an employee .
the kid described the pie .,the pie was described by the kid .,an opponent leaves a plate .,a plate is left by an opponent .
the chief killed the champion .,the champion was killed by the chief .,an aunt kisses a professor .,a professor is kissed by an aunt .
the brother judged the corporation .,the corporation was judged by the brother .,a singer wants a salad .,a salad is wanted by a singer .
a professor smelled a chocolate .,a chocolate was smelled by a professor .,the sheriff forgets the button .,the button is forgotten by the sheriff .
an army purchases a beer .,a beer is purchased by an army .,the leader struck the student .,the student was struck by the leader .
the mother dragged the camera .,the camera was dragged by the mother .,a guy carries a princess .,a princess is carried by a guy .
the colonel collected the coffee .,the coffee was collected by the colonel .,a minister joins a teacher .,a teacher is joined by a minister .
the winner selects the tea .,the tea is selected by the winner .,an aunt used a motor .,a motor was used by an aunt .
the actress protects the teacher .,the teacher is protected by the actress .,a priest ate a candy .,a candy was eaten by a priest .
a cop carries a coffee .,a coffee is carried by a cop .,the aunt struck the teacher .,the teacher was struck by the aunt .
the cop hurries the nurse .,the nurse is hurried by the cop .,a pilot chased an employee .,an employee was chased by a pilot .
a chief discovered a beer .,a beer was discovered by a chief .,the adult prepares the salad .,the salad is prepared by the adult .
a lawyer discovered a reader .,a reader was discovered by a lawyer .,the daughter keeps the candy .,the candy is kept by the daughter .
the minister followed the band .,the band was followed by the minister .,a corporation purchases a bag .,a bag is purchased by a corporation .
a leader beat a doctor .,a doctor was beaten by a leader .,the army uses the computer .,the computer is used by the army .
an adult carries a pot .,a pot is carried by an adult .,the writer hurried the leader .,the leader was hurried by the writer .
the scientist bothers the band .,the band is bothered by the scientist .,a manager wrapped a flower .,a flower was wrapped by a manager .
the club kept the juice .,the juice was kept by the club .,a buddy selects a tea .,a tea is selected by a buddy .
the woman tastes the pie .,the pie is tasted by the woman .,a worker punched a champion .,a champion was punched by a worker .
the army helped the kid .,the kid was helped by the army .,a president accepts a television .,a television is accepted by a president .
the brother teaches the soldier .,the soldier is taught by the brother .,a husband washed a pot .,a pot was washed by a husband .
the cop uses the instrument .,the instrument is used by the cop .,a lawyer wrapped a card .,a card was wrapped by a lawyer .
the son hurried the physician .,the physician was hurried by the son .,a reader accepts a log .,a log is accepted by a reader .
a cousin understands a boy .,a boy is understood by a cousin .,the student collected the beer .,the beer was collected by the student .
the band purchases the salad .,the salad is purchased by the band .,a professor followed a business .,a business was followed by a professor .
the sheriff removed the gun .,the gun was removed by the sheriff .,a writer bothers a princess .,a princess is bothered by a writer .
a pilot judged a corporation .,a corporation was judged by a pilot .,the actress leaves the guitar .,the guitar is left by the actress .
the captain carries the tea .,the tea is carried by the captain .,a kid used an iron .,an iron was used by a kid .
a company keeps a coffee .,a coffee is kept by a company .,the minister punched the employee .,the employee was punched by the minister .
a winner taught a hero .,a hero was taught by a winner .,the army helps the mayor .,the mayor is helped by the army .
a woman surprises a writer .,a writer is surprised by a woman .,the winner raised the chocolate .,the chocolate was raised by the winner .
the child hurries the actor .,the actor is hurried by the child .,a scientist discovered a pie .,a pie was discovered by a scientist .
the partner embraces the princess .,the princess is embraced by the partner .,an author forgot a cousin .,a cousin was forgotten by an author .
the winner chased the band .,the band was chased by the winner .,a guest drinks a beer .,a beer is drunk by a guest .
the lady smells the chicken .,the chicken is smelled by the lady .,a president discovered a bowl .,a bowl was discovered by a president .
the princess follows the business .,the business is followed by the princess .,a buddy comforted an adult .,an adult was comforted by a buddy .
the captain hurried the pilot .,the pilot was hurried by the captain .,a writer drinks a juice .,a juice is drunk by a writer .
a nurse carries an engine .,an engine is carried by a nurse .,the captain punched the author .,the author was punched by the captain .
the physician joins the adult .,the adult is joined by the physician .,an actress helped a colonel .,a colonel was helped by an actress .
a colonel beats a mayor .,a mayor is beaten by a colonel .,the reader destroyed the tea .,the tea was destroyed by the reader .
a parent discovers a sheriff .,a sheriff is discovered by a parent .,the professor led the business .,the business was led by the professor .
the friend discovered the candy .,the candy was discovered by the friend .,an employer protects an actress .,an actress is protected by an employer .
the army uses the machine .,the machine is used by the army .,a child prepared a chicken .,a chicken was prepared by a child .
the administration wanted the candy .,the candy was wanted by the administration .,a buddy prepares a juice .,a juice is prepared by a buddy .
a corporation purchased a telephone .,a telephone was purchased by a corporation .,the chief drags the girl .,the girl is dragged by the chief .
a leader punches a secretary .,a secretary is punched by a leader .,the guest kissed the actor .,the actor was kissed by the guest .
the employee tasted the chicken .,the chicken was tasted by the employee .,a lawyer purchases a candy .,a candy is purchased by a lawyer .
the girl comforts the colonel .,the colonel is comforted by the girl .,a doctor drank a juice .,a juice was drunk by a doctor .
the champion joins the band .,the band is joined by the champion .,a nurse wrapped a camera .,a camera was wrapped by a nurse .
the princess left the gun .,the gun was left by the princess .,a sheriff purchases a juice .,a juice is purchased by a sheriff .
a hero described a bishop .,a bishop was described by a hero .,the captain removes the newspaper .,the newspaper is removed by the captain .
the buddy drinks the coffee .,the coffee is drunk by the buddy .,an attorney wrapped an instrument .,an instrument was wrapped by an attorney .
the husband killed the aunt .,the aunt was killed by the husband .,a guest punches a pilot .,a pilot is punched by a guest .
the adult forgives the daughter .,the daughter is forgiven by the adult .,a winner joined a club .,a club was joined by a winner .
an attorney accepts a crystal .,a crystal is accepted by an attorney .,the actress chased the business .,the business was chased by the actress .
the administration keeps the chicken .,the chicken is kept by the administration .,a woman forgot a chocolate .,a chocolate was forgotten by a woman .
the student understood the scientist .,the scientist was understood by the student .,a priest collects a meal .,a meal is collected by a priest .
a cop forgot a daughter .,a daughter was forgotten by a cop .,the professor understands the lawyer .,the lawyer is understood by the professor .
a singer tastes a salad .,a salad is tasted by a singer .,the secretary protected the hero .,the hero was protected by the secretary .
the prince beat the singer .,the singer was beaten by the prince .,a man discovers an anchor .,an anchor is discovered by a man .
an army wanted an instrument .,an instrument was wanted by an army .,the father kisses the teacher .,the teacher is kissed by the father .
the kid joins the teacher .,the teacher is joined by the kid .,a son caught a juice .,a juice was caught by a son .
a colonel beats a princess .,a princess is beaten by a colonel .,the brother collected the book .,the book was collected by the brother .
a reader carries a flower .,a flower is carried by a reader .,the guy surprised the scientist .,the scientist was surprised by the guy .
the buddy understands the doctor .,the doctor is understood by the buddy .,a president wanted a guitar .,a guitar was wanted by a president .
a kid carried a daughter .,a daughter was carried by a kid .,the manager discovers the chocolate .,the chocolate is discovered by the manager .
a brother destroyed an uncle .,an uncle was destroyed by a brother .,the lady hurries the priest .,the priest is hurried by the lady .
a husband raises a king .,a king is raised by a husband .,the army helped the lawyer .,the lawyer was helped by the army .
an aunt joined a man .,a man was joined by an aunt .,the girl smells the chicken .,the chicken is smelled by the girl .
a husband smelled a coffee .,a coffee was smelled by a husband .,the brother catches the pot .,the pot is caught by the brother .
the army keeps the coffee .,the coffee is kept by the army .,a guest ate a meal .,a meal was eaten by a guest .
the son selects the plate .,the plate is selected by the son .,a lawyer accepted a hat .,a hat was accepted by a lawyer .
an author washes a camera .,a camera is washed by an author .,the child beat the kid .,the kid was beaten by the child .
an attorney forgives a band .,a band is forgiven by an attorney .,the candidate raised the meal .,the meal was raised by the candidate .
the husband comforts the princess .,the princess is comforted by the husband .,a winner grabbed a chicken .,a chicken was grabbed by a winner .
a sheriff eats a cheese .,a cheese is eaten by a sheriff .,the king broke the bowl .,the bowl was broken by the king .
a guest uses a bag .,a bag is used by a guest .,the writer purchased the plate .,the plate was purchased by the writer .
a nurse prepared a beer .,a beer was prepared by a nurse .,the husband wants the chocolate .,the chocolate is wanted by the husband .
the lady kept the knife .,the knife was kept by the lady .,a cop embraces a boy .,a boy is embraced by a cop .
the employee discovered the actor .,the actor was discovered by the employee .,a student kills a girl .,a girl is killed by a student .
the princess dragged the attorney .,the attorney was dragged by the princess .,an army purchases a candy .,a candy is purchased by an army .
a professor removed a plate .,a plate was removed by a professor .,the employee breaks the ball .,the ball is broken by the employee .
a secretary carried a tea .,a tea was carried by a secretary .,the writer collects the meal .,the meal is collected by the writer .
a daughter understands a pilot .,a pilot is understood by a daughter .,the king ate the salad .,the salad was eaten by the king .
a lady comforts an uncle .,an uncle is comforted by a lady .,the leader prepared the ball .,the ball was prepared by the leader .
the manager breaks the key .,the key is broken by the manager .,a daughter purchased a button .,a button was purchased by a daughter .
a club helped a manager .,a manager was helped by a club .,the colonel selects the chicken .,the chicken is selected by the colonel .
the girl joins the son .,the son is joined by the girl .,an uncle broke a wire .,a wire was broken by an uncle .
a princess discovered a lady .,a lady was discovered by a princess .,the corporation wants the pie .,the pie is wanted by the corporation .
the cop embraces the guest .,the guest is embraced by the cop .,an aunt described a button .,a button was described by an aunt .
a winner destroyed a bowl .,a bowl was destroyed by a winner .,the husband asks the doctor .,the doctor is asked by the husband .
the guy struck the colonel .,the colonel was struck by the guy .,a kid discovers a beer .,a beer is discovered by a kid .
a brother punches an aunt .,an aunt is punched by a brother .,the cop raised the tea .,the tea was raised by the cop .
the pilot smelled the pie .,the pie was smelled by the pilot .,a winner protects an attorney .,an attorney is protected by a winner .
the actress asks the company .,the company is asked by the actress .,an adult drank a juice .,a juice was drunk by an adult .
the professor understands the author .,the author is understood by the professor .,an actress killed a buddy .,a buddy was killed by an actress .
the secretary surprises the hero .,the hero is surprised by the secretary .,a leader left an instrument .,an instrument was left by a leader .
a doctor embraces an actress .,an actress is embraced by a doctor .,the writer chased the aunt .,the aunt was chased by the writer .
a girl breaks a coat .,a coat is broken by a girl .,the king forgave the buddy .,the buddy was forgiven by the king .
a worker hurts a club .,a club is hurt by a worker .,the army kept the candy .,the candy was kept by the army .
the club purchases the coat .,the coat is purchased by the club .,a daughter hurt a company .,a company was hurt by a daughter .
a president selected a gun .,a gun was selected by a president .,the writer leaves the bell .,the bell is left by the writer .
the hero judged the secretary .,the secretary was judged by the hero .,a bishop kisses a singer .,a singer is kissed by a bishop .
a priest bothered a son .,a son was bothered by a priest .,the winner kills the chief .,the chief is killed by the winner .
the cop kisses the boy .,the boy is kissed by the cop .,a club kept an iron .,an iron was kept by a club .
an attorney dragged a manager .,a manager was dragged by an attorney .,the aunt drinks the beer .,the beer is drunk by the aunt .
the singer bothered the administration .,the administration was bothered by the singer .,an attorney keeps a coffee .,a coffee is kept by an attorney .
a lawyer killed a nurse .,a nurse was killed by a lawyer .,the brother strikes the friend .,the friend is struck by the brother .
a guy wanted a tea .,a tea was wanted by a guy .,the actress beats the worker .,the worker is beaten by the actress .
the chief drank the coffee .,the coffee was drunk by the chief .,a pilot surprises a princess .,a princess is surprised by a pilot .
the guy drank the juice .,the juice was drunk by the guy .,a singer kills a captain .,a captain is killed by a singer .
a secretary destroys a beer .,a beer is destroyed by a secretary .,the minister asked the corporation .,the corporation was asked by the minister .
an uncle follows an opponent .,an opponent is followed by an uncle .,the captain caught the singer .,the singer was caught by the captain .
the opponent punched the parent .,the parent was punched by the opponent .,a guest destroys a chocolate .,a chocolate is destroyed by a guest .
the teacher comforted the adult .,the adult was comforted by the teacher .,a business purchases a log .,a log is purchased by a business .
the employer raised the tea .,the tea was raised by the employer .,a physician strikes a lady .,a lady is struck by a physician .
a professor purchased a gun .,a gun was purchased by a professor .,the band wants the coffee .,the coffee is wanted by the band .
the aunt discovers the juice .,the juice is discovered by the aunt .,a captain selected a coffee .,a coffee was selected by a captain .
a manager discovered a soldier .,a soldier was discovered by a manager .,the winner wraps the bell .,the bell is wrapped by the winner .
a pilot understands an attorney .,an attorney is understood by a pilot .,the girl carried the actor .,the actor was carried by the girl .
the kid comforts the actress .,the actress is comforted by the kid .,a teacher beat a father .,a father was beaten by a teacher .
a pilot chased a cop .,a cop was chased by a pilot .,the scientist drags the kid .,the kid is dragged by the scientist .
