ppo, pdo, tpo, tdo
a manager fed a pie to a bishop .,a manager fed a bishop a pie .,the friend caught the machine for the pilot .,the friend caught the pilot the machine .
a mayor drew a camera for a physician .,a mayor drew a physician a camera .,the opponent supplied the juice to the band .,the opponent supplied the band the juice .
a buddy delivered a chicken for a lawyer .,a buddy delivered a lawyer a chicken .,the brother supplied the juice to the army .,the brother supplied the army the juice .
the opponent sold the candy to the army .,the opponent sold the army the candy .,an author caught a log for a woman .,an author caught a woman a log .
an aunt bought a coffee for a student .,an aunt bought a student a coffee .,the woman threw the candy to the wife .,the woman threw the wife the candy .
a writer drew a motor for a professor .,a writer drew a professor a motor .,the husband showed the cheese to the guy .,the husband showed the guy the cheese .
a prince made a coat for a hero .,a prince made a hero a coat .,the captain took the box to the pilot .,the captain took the pilot the box .
a father left a chicken for a prince .,a father left a prince a chicken .,the captain promised the tea to the teacher .,the captain promised the teacher the tea .
the band designed the crystal for the club .,the band designed the club the crystal .,a candidate took a plate to an aunt .,a candidate took an aunt a plate .
a sheriff saved a computer for a company .,a sheriff saved a company a computer .,the girl fed the chicken to the author .,the girl fed the author the chicken .
a friend promised a pot to a champion .,a friend promised a champion a pot .,the wife purchased the beer for the club .,the wife purchased the club the beer .
a colonel brought a bottle to a business .,a colonel brought a business a bottle .,the girl bought the engine for the nurse .,the girl bought the nurse the engine .
the administration designed the cigarette for the club .,the administration designed the club the cigarette .,a daughter fed a meal to a cousin .,a daughter fed a cousin a meal .
the child caught the key for the father .,the child caught the father the key .,a sheriff sent a chocolate to a student .,a sheriff sent a student a chocolate .
the cop brought the cheese to the club .,the cop brought the club the cheese .,an actress bought a chicken for an attorney .,an actress bought an attorney a chicken .
a daughter took a log to a brother .,a daughter took a brother a log .,the sheriff saved the cup for the writer .,the sheriff saved the writer the cup .
a guy caught a jacket for a friend .,a guy caught a friend a jacket .,the adult gave the beer to the administration .,the adult gave the administration the beer .
a nurse took a log to a child .,a nurse took a child a log .,the prince designed the card for the buddy .,the prince designed the buddy the card .
the husband made the crystal for the administration .,the husband made the administration the crystal .,a woman sent a beer to a company .,a woman sent a company a beer .
the teacher promised the salad to the buddy .,the teacher promised the buddy the salad .,an author left a cigarette for a company .,an author left a company a cigarette .
the aunt designed the telephone for the partner .,the aunt designed the partner the telephone .,a singer sold a candy to a club .,a singer sold a club a candy .
the soldier found the tea for the administration .,the soldier found the administration the tea .,a singer took a newspaper to a daughter .,a singer took a daughter a newspaper .
an uncle showed a beer to a champion .,an uncle showed a champion a beer .,the worker left the cup for the priest .,the worker left the priest the cup .
a man brought a meal to a captain .,a man brought a captain a meal .,the bishop bought the tea for the singer .,the bishop bought the singer the tea .
the hero kept the chicken for the club .,the hero kept the club the chicken .,a guest supplied a coffee to a band .,a guest supplied a band a coffee .
the professor left the salad for the father .,the professor left the father the salad .,a lady promised a juice to a cop .,a lady promised a cop a juice .
an opponent delivered a cigarette for a champion .,an opponent delivered a champion a cigarette .,the pilot fed the salad to the professor .,the pilot fed the professor the salad .
the employer sent the flower to the club .,the employer sent the club the flower .,an author purchased a key for an army .,an author purchased an army a key .
a president bought a cheese for a captain .,a president bought a captain a cheese .,the husband sent the salad to the priest .,the husband sent the priest the salad .
the son delivered the cheese for the employee .,the son delivered the employee the cheese .,an aunt sold a beer to a corporation .,an aunt sold a corporation a beer .
a parent left a hat for a sheriff .,a parent left a sheriff a hat .,the lady fed the chocolate to the writer .,the lady fed the writer the chocolate .
the son brought the meal to the club .,the son brought the club the meal .,a captain caught a bell for a guy .,a captain caught a guy a bell .
the champion sold the juice to the business .,the champion sold the business the juice .,a friend drew a flower for a club .,a friend drew a club a flower .
the captain promised the coffee to the soldier .,the captain promised the soldier the coffee .,a girl caught a book for a mother .,a girl caught a mother a book .
a teacher sent a hat to a club .,a teacher sent a club a hat .,the author saved the meal for the company .,the author saved the company the meal .
the scientist purchased the candy for the kid .,the scientist purchased the kid the candy .,a buddy sent a motor to a prince .,a buddy sent a prince a motor .
a cousin threw a juice to a leader .,a cousin threw a leader a juice .,the author delivered the iron for the professor .,the author delivered the professor the iron .
an employer made a telephone for a corporation .,an employer made a corporation a telephone .,the secretary took the machine to the president .,the secretary took the president the machine .
the manager delivered the button for the mayor .,the manager delivered the mayor the button .,a physician supplied a candy to a corporation .,a physician supplied a corporation a candy .
a scientist saved a chocolate for a corporation .,a scientist saved a corporation a chocolate .,the physician threw the juice to the man .,the physician threw the man the juice .
the bishop saved the cheese for the company .,the bishop saved the company the cheese .,a cousin sent a tea to a club .,a cousin sent a club a tea .
the physician fed the pie to the scientist .,the physician fed the scientist the pie .,a buddy drew a bell for a cousin .,a buddy drew a cousin a bell .
the actor delivered the chicken for the champion .,the actor delivered the champion the chicken .,a cousin supplied a chocolate to a corporation .,a cousin supplied a corporation a chocolate .
a man took a bottle to a brother .,a man took a brother a bottle .,the champion purchased the coat for the lawyer .,the champion purchased the lawyer the coat .
a student fed a meal to a mother .,a student fed a mother a meal .,the physician found the candy for the army .,the physician found the army the candy .
an uncle made a machine for a company .,an uncle made a company a machine .,the woman promised the log to the nurse .,the woman promised the nurse the log .
the lawyer got the hat for the secretary .,the lawyer got the secretary the hat .,a boy fed a cheese to a father .,a boy fed a father a cheese .
the worker left the plate for the company .,the worker left the company the plate .,a pilot promised a beer to a partner .,a pilot promised a partner a beer .
an uncle found a chocolate for a club .,an uncle found a club a chocolate .,the bishop fed the meal to the doctor .,the bishop fed the doctor the meal .
a pilot sent a candy to a professor .,a pilot sent a professor a candy .,the winner bought the flower for the employee .,the winner bought the employee the flower .
the priest caught the key for the prince .,the priest caught the prince the key .,an employer gave a salad to a colonel .,an employer gave a colonel a salad .
the administration designed the jacket for the club .,the administration designed the club the jacket .,an aunt sent a card to a company .,an aunt sent a company a card .
a minister threw a salad to a lady .,a minister threw a lady a salad .,the son found the candy for the brother .,the son found the brother the candy .
the president kept the wire for the attorney .,the president kept the attorney the wire .,a scientist sold a log to a band .,a scientist sold a band a log .
an author sent a chocolate to an administration .,an author sent an administration a chocolate .,the opponent kept the chicken for the business .,the opponent kept the business the chicken .
the guest caught the motor for the pilot .,the guest caught the pilot the motor .,an actor fed a pie to a woman .,an actor fed a woman a pie .
the secretary promised the cheese to the husband .,the secretary promised the husband the cheese .,a singer saved a chocolate for a captain .,a singer saved a captain a chocolate .
the leader promised the salad to the employer .,the leader promised the employer the salad .,an uncle drew a card for a corporation .,an uncle drew a corporation a card .
the actor threw the meal to the soldier .,the actor threw the soldier the meal .,a pilot made an instrument for a husband .,a pilot made a husband an instrument .
the soldier fed the cheese to the woman .,the soldier fed the woman the cheese .,a sheriff delivered a juice for a bishop .,a sheriff delivered a bishop a juice .
a princess got a candy for a club .,a princess got a club a candy .,the manager promised the coffee to the husband .,the manager promised the husband the coffee .
the lady purchased the television for the administration .,the lady purchased the administration the television .,a manager brought a tea to a company .,a manager brought a company a tea .
the mayor gave the coffee to the administration .,the mayor gave the administration the coffee .,a girl designed a wire for a bishop .,a girl designed a bishop a wire .
the adult sent the glass to the student .,the adult sent the student the glass .,an uncle kept a salad for an army .,an uncle kept an army a salad .
the business designed the television for the army .,the business designed the army the television .,a writer threw a beer to a leader .,a writer threw a leader a beer .
the uncle left the beer for the professor .,the uncle left the professor the beer .,a winner sold a tea to a business .,a winner sold a business a tea .
a captain promised a chicken to an actress .,a captain promised an actress a chicken .,the lawyer got the salad for the bishop .,the lawyer got the bishop the salad .
the brother sent the salad to the band .,the brother sent the band the salad .,a president caught a cigarette for a priest .,a president caught a priest a cigarette .
a corporation designed a box for an administration .,a corporation designed an administration a box .,the employer supplied the juice to the army .,the employer supplied the army the juice .
a teacher sold a coffee to an army .,a teacher sold an army a coffee .,the author drew the motor for the business .,the author drew the business the motor .
an uncle promised a log to a candidate .,an uncle promised a candidate a log .,the author bought the pie for the buddy .,the author bought the buddy the pie .
the president drew the iron for the author .,the president drew the author the iron .,a bishop threw a meal to a student .,a bishop threw a student a meal .
the chief sent the juice to the cousin .,the chief sent the cousin the juice .,a king designed a plate for a daughter .,a king designed a daughter a plate .
a father delivered a key for a manager .,a father delivered a manager a key .,the physician promised the juice to the opponent .,the physician promised the opponent the juice .
a husband promised a coffee to a president .,a husband promised a president a coffee .,the girl delivered the anchor for the hero .,the girl delivered the hero the anchor .
the actress drew the gun for the business .,the actress drew the business the gun .,a student sold a cheese to a nurse .,a student sold a nurse a cheese .
a manager promised a beer to a cop .,a manager promised a cop a beer .,the adult got the television for the physician .,the adult got the physician the television .
the captain made the telephone for the administration .,the captain made the administration the telephone .,a kid showed a tea to an employer .,a kid showed an employer a tea .
an opponent threw a pot to a buddy .,an opponent threw a buddy a pot .,the minister delivered the beer for the singer .,the minister delivered the singer the beer .
a club designed a hat for a business .,a club designed a business a hat .,the boy fed the meal to the physician .,the boy fed the physician the meal .
the prince sold the juice to the administration .,the prince sold the administration the juice .,a kid delivered a salad for a writer .,a kid delivered a writer a salad .
a club designed a box for a band .,a club designed a band a box .,the physician showed the tea to the administration .,the physician showed the administration the tea .
the adult supplied the candy to the company .,the adult supplied the company the candy .,a princess delivered a cheese for a hero .,a princess delivered a hero a cheese .
the employer showed the cheese to the opponent .,the employer showed the opponent the cheese .,a son left a telephone for an uncle .,a son left an uncle a telephone .
the partner brought the chocolate to the corporation .,the partner brought the corporation the chocolate .,a father bought a juice for a doctor .,a father bought a doctor a juice .
the guest made the button for the mayor .,the guest made the mayor the button .,a winner sent a ball to a bishop .,a winner sent a bishop a ball .
a minister purchased a coffee for a manager .,a minister purchased a manager a coffee .,the employer brought the salad to the administration .,the employer brought the administration the salad .
a husband promised a meal to an author .,a husband promised an author a meal .,the administration designed the hat for the company .,the administration designed the company the hat .
the priest made the coat for the actress .,the priest made the actress the coat .,a soldier took a card to a sheriff .,a soldier took a sheriff a card .
the guy purchased the beer for the army .,the guy purchased the army the beer .,a singer fed a salad to a chief .,a singer fed a chief a salad .
an opponent bought a pie for a wife .,an opponent bought a wife a pie .,the leader took the ball to the teacher .,the leader took the teacher the ball .
the secretary bought the machine for the wife .,the secretary bought the wife the machine .,a colonel threw a salad to a physician .,a colonel threw a physician a salad .
a hero promised a crystal to a soldier .,a hero promised a soldier a crystal .,the parent got the beer for the administration .,the parent got the administration the beer .
the teacher sent the coffee to the captain .,the teacher sent the captain the coffee .,an employee saved a chicken for a father .,an employee saved a father a chicken .
the hero fed the cheese to the professor .,the hero fed the professor the cheese .,a child delivered a salad for a king .,a child delivered a king a salad .
a kid sold a ball to a band .,a kid sold a band a ball .,the guest got the machine for the company .,the guest got the company the machine .
a singer sold a glass to a minister .,a singer sold a minister a glass .,the friend drew the camera for the author .,the friend drew the author the camera .
the scientist took the bottle to the employer .,the scientist took the employer the bottle .,a sheriff saved a meal for a mother .,a sheriff saved a mother a meal .
a cousin designed a guitar for a boy .,a cousin designed a boy a guitar .,the actress gave the meal to the administration .,the actress gave the administration the meal .
a champion found a juice for a prince .,a champion found a prince a juice .,the employer fed the candy to the opponent .,the employer fed the opponent the candy .
the aunt promised the tea to the leader .,the aunt promised the leader the tea .,a boy purchased a cheese for a hero .,a boy purchased a hero a cheese .
the student took the key to the colonel .,the student took the colonel the key .,a king drew a telephone for an author .,a king drew an author a telephone .
the woman kept the beer for the administration .,the woman kept the administration the beer .,a captain brought a coffee to a business .,a captain brought a business a coffee .
a manager made an instrument for a scientist .,a manager made a scientist an instrument .,the hero threw the flower to the father .,the hero threw the father the flower .
the kid left the meal for the company .,the kid left the company the meal .,a priest promised a coat to a son .,a priest promised a son a coat .
the secretary supplied the engine to the corporation .,the secretary supplied the corporation the engine .,a mother drew a glass for an administration .,a mother drew an administration a glass .
a husband gave a candy to a business .,a husband gave a business a candy .,the minister purchased the tea for the cousin .,the minister purchased the cousin the tea .
the colonel made the iron for the club .,the colonel made the club the iron .,an author sent a chocolate to a child .,an author sent a child a chocolate .
a doctor saved an anchor for a club .,a doctor saved a club an anchor .,the princess supplied the coffee to the actor .,the princess supplied the actor the coffee .
a cousin delivered a candy for a son .,a cousin delivered a son a candy .,the student promised the beer to the woman .,the student promised the woman the beer .
a bishop showed a tea to a singer .,a bishop showed a singer a tea .,the uncle made the bottle for the club .,the uncle made the club the bottle .
a lawyer made a cup for an actress .,a lawyer made an actress a cup .,the worker gave the juice to the student .,the worker gave the student the juice .
an employer threw a salad to a girl .,an employer threw a girl a salad .,the man saved the wire for the business .,the man saved the business the wire .
the pilot took the gun to the king .,the pilot took the king the gun .,an aunt made a log for a business .,an aunt made a business a log .
a brother made a newspaper for a prince .,a brother made a prince a newspaper .,the writer took the cigarette to the teacher .,the writer took the teacher the cigarette .
the parent took the bell to the lawyer .,the parent took the lawyer the bell .,an actress caught a cup for a cousin .,an actress caught a cousin a cup .
the actress threw the beer to the candidate .,the actress threw the candidate the beer .,a teacher purchased a telephone for a company .,a teacher purchased a company a telephone .
the uncle fed the chocolate to the child .,the uncle fed the child the chocolate .,a princess delivered a cheese for a professor .,a princess delivered a professor a cheese .
the candidate sold the card to the attorney .,the candidate sold the attorney the card .,a writer got a meal for an employer .,a writer got an employer a meal .
a husband sold a cheese to a club .,a husband sold a club a cheese .,the manager delivered the motor for the mother .,the manager delivered the mother the motor .
the reader drew the iron for the nurse .,the reader drew the nurse the iron .,a girl fed a pie to a lawyer .,a girl fed a lawyer a pie .
a worker made a motor for a son .,a worker made a son a motor .,the lawyer promised the chicken to the colonel .,the lawyer promised the colonel the chicken .
a worker threw a cheese to a king .,a worker threw a king a cheese .,the author drew the newspaper for the business .,the author drew the business the newspaper .
an actor designed a guitar for a guy .,an actor designed a guy a guitar .,the lady threw the chicken to the employer .,the lady threw the employer the chicken .
the president took the newspaper to the woman .,the president took the woman the newspaper .,a cousin caught a plate for a parent .,a cousin caught a parent a plate .
an actor purchased a cheese for a guy .,an actor purchased a guy a cheese .,the pilot supplied the coffee to the cop .,the pilot supplied the cop the coffee .
an aunt showed a tea to a girl .,an aunt showed a girl a tea .,the champion got the pie for the bishop .,the champion got the bishop the pie .
the teacher sold the coffee to the band .,the teacher sold the band the coffee .,a guest got a chocolate for an army .,a guest got an army a chocolate .
a wife sold a telephone to an army .,a wife sold an army a telephone .,the employee designed the camera for the guy .,the employee designed the guy the camera .
the chief sold the meal to the employer .,the chief sold the employer the meal .,a sheriff saved a cheese for an aunt .,a sheriff saved an aunt a cheese .
the doctor showed the juice to the company .,the doctor showed the company the juice .,a colonel saved a newspaper for a band .,a colonel saved a band a newspaper .
a princess got a meal for a company .,a princess got a company a meal .,the guy supplied the coffee to the scientist .,the guy supplied the scientist the coffee .
a partner fed a pie to a guest .,a partner fed a guest a pie .,the opponent purchased the knife for the corporation .,the opponent purchased the corporation the knife .
the minister found the coffee for the pilot .,the minister found the pilot the coffee .,a cop showed an instrument to a boy .,a cop showed a boy an instrument .
the princess promised the newspaper to the uncle .,the princess promised the uncle the newspaper .,a guest got a beer for a band .,a guest got a band a beer .
a soldier designed a plate for a teacher .,a soldier designed a teacher a plate .,the pilot gave the tea to the corporation .,the pilot gave the corporation the tea .
the doctor brought the tea to the princess .,the doctor brought the princess the tea .,a minister found a chicken for an aunt .,a minister found an aunt a chicken .
the son sent the box to the minister .,the son sent the minister the box .,a soldier bought an iron for a prince .,a soldier bought a prince an iron .
the adult threw the tea to the colonel .,the adult threw the colonel the tea .,a sheriff got a meal for a company .,a sheriff got a company a meal .
a friend showed a meal to a company .,a friend showed a company a meal .,the secretary found the jacket for the band .,the secretary found the band the jacket .
a manager got a beer for a child .,a manager got a child a beer .,the winner promised the tea to the king .,the winner promised the king the tea .
the worker supplied the beer to the parent .,the worker supplied the parent the beer .,a chief made a cup for a club .,a chief made a club a cup .
the lady sent the juice to the woman .,the lady sent the woman the juice .,a physician purchased a telephone for a colonel .,a physician purchased a colonel a telephone .
a partner drew a guitar for a father .,a partner drew a father a guitar .,the sheriff promised the button to the employee .,the sheriff promised the employee the button .
a minister got a cup for an administration .,a minister got an administration a cup .,the parent fed the chocolate to the professor .,the parent fed the professor the chocolate .
the hero sold the salad to the band .,the hero sold the band the salad .,a prince drew a jacket for an actor .,a prince drew an actor a jacket .
the guy promised the tea to the aunt .,the guy promised the aunt the tea .,a daughter made a machine for a club .,a daughter made a club a machine .
the uncle sold the box to the author .,the uncle sold the author the box .,an employee left a camera for an administration .,an employee left an administration a camera .
an uncle showed a hat to a bishop .,an uncle showed a bishop a hat .,the leader bought the juice for the adult .,the leader bought the adult the juice .
the pilot purchased the crystal for the club .,the pilot purchased the club the crystal .,a husband took a bottle to a doctor .,a husband took a doctor a bottle .
a priest got a juice for a princess .,a priest got a princess a juice .,the girl threw the tea to the kid .,the girl threw the kid the tea .
a captain drew a book for an army .,a captain drew an army a book .,the lawyer promised the beer to the brother .,the lawyer promised the brother the beer .
the friend brought the bottle to the boy .,the friend brought the boy the bottle .,a lawyer caught a log for a secretary .,a lawyer caught a secretary a log .
the hero purchased the coffee for the club .,the hero purchased the club the coffee .,a leader sent an instrument to a band .,a leader sent a band an instrument .
the parent fed the chocolate to the scientist .,the parent fed the scientist the chocolate .,a reader got a cheese for a cop .,a reader got a cop a cheese .
a singer took a bottle to a physician .,a singer took a physician a bottle .,the student bought the bell for the employer .,the student bought the employer the bell .
the father took the motor to the cousin .,the father took the cousin the motor .,a hero purchased a tea for a manager .,a hero purchased a manager a tea .
the winner got the plate for the champion .,the winner got the champion the plate .,a secretary supplied a coffee to a guest .,a secretary supplied a guest a coffee .
the leader took the instrument to the son .,the leader took the son the instrument .,a prince drew a machine for an army .,a prince drew an army a machine .
an employee took a bottle to a professor .,an employee took a professor a bottle .,the son found the pie for the corporation .,the son found the corporation the pie .
the lady gave the meal to the captain .,the lady gave the captain the meal .,a professor made a bottle for an actress .,a professor made an actress a bottle .
a kid fed a chocolate to a candidate .,a kid fed a candidate a chocolate .,the father drew the cigarette for the company .,the father drew the company the cigarette .
a lady threw a candy to a secretary .,a lady threw a secretary a candy .,the army designed the cigarette for the band .,the army designed the band the cigarette .
the employer promised the beer to the worker .,the employer promised the worker the beer .,a colonel found a juice for a parent .,a colonel found a parent a juice .
the business designed the newspaper for the army .,the business designed the army the newspaper .,a princess brought a candy to a club .,a princess brought a club a candy .
an uncle threw a television to a princess .,an uncle threw a princess a television .,the chief drew the newspaper for the boy .,the chief drew the boy the newspaper .
the lawyer designed the telephone for the guy .,the lawyer designed the guy the telephone .,a singer showed a hat to a scientist .,a singer showed a scientist a hat .
the aunt showed the chicken to the adult .,the aunt showed the adult the chicken .,a king delivered a juice for an employer .,a king delivered an employer a juice .
the employee sold the coffee to the champion .,the employee sold the champion the coffee .,a father found a cheese for a business .,a father found a business a cheese .
a winner sold a cheese to an administration .,a winner sold an administration a cheese .,the girl saved the juice for the company .,the girl saved the company the juice .
the princess found the coffee for the business .,the princess found the business the coffee .,a singer sold a bottle to a club .,a singer sold a club a bottle .
a captain showed a beer to a band .,a captain showed a band a beer .,the bishop saved the coffee for the wife .,the bishop saved the wife the coffee .
a scientist promised a tea to a son .,a scientist promised a son a tea .,the man got the pie for the administration .,the man got the administration the pie .
a champion saved a tea for an employee .,a champion saved an employee a tea .,the actor sent the pie to the guy .,the actor sent the guy the pie .
the daughter gave the salad to the manager .,the daughter gave the manager the salad .,a reader saved a chocolate for an army .,a reader saved an army a chocolate .
a priest sold a chicken to a son .,a priest sold a son a chicken .,the adult made the glass for the corporation .,the adult made the corporation the glass .
a friend promised a beer to a professor .,a friend promised a professor a beer .,the aunt got the tea for the lady .,the aunt got the lady the tea .
a president got a meal for a bishop .,a president got a bishop a meal .,the captain promised the tea to the prince .,the captain promised the prince the tea .
the secretary took the box to the minister .,the secretary took the minister the box .,a bishop caught an instrument for a child .,a bishop caught a child an instrument .
the friend sent the cigarette to the club .,the friend sent the club the cigarette .,a student left an engine for a scientist .,a student left a scientist an engine .
the son brought the juice to the teacher .,the son brought the teacher the juice .,a guy kept a tea for an employer .,a guy kept an employer a tea .
the author bought the card for the man .,the author bought the man the card .,a teacher threw a log to a physician .,a teacher threw a physician a log .
a chief delivered a flower for an aunt .,a chief delivered an aunt a flower .,the prince showed the chocolate to the army .,the prince showed the army the chocolate .
the opponent left the beer for the actor .,the opponent left the actor the beer .,a prince sold a cup to a band .,a prince sold a band a cup .
a cousin kept a beer for a business .,a cousin kept a business a beer .,the chief brought the chicken to the band .,the chief brought the band the chicken .
a soldier made a wire for an opponent .,a soldier made an opponent a wire .,the guest gave the coffee to the actress .,the guest gave the actress the coffee .
an opponent made a crystal for a mother .,an opponent made a mother a crystal .,the professor gave the card to the club .,the professor gave the club the card .
the cousin promised the salad to the priest .,the cousin promised the priest the salad .,a president delivered a cup for an actor .,a president delivered an actor a cup .
a boy showed an engine to a mayor .,a boy showed a mayor an engine .,the wife left the camera for the colonel .,the wife left the colonel the camera .
the opponent kept the ball for the student .,the opponent kept the student the ball .,a mayor supplied a coffee to a daughter .,a mayor supplied a daughter a coffee .
a colonel threw an iron to an aunt .,a colonel threw an aunt an iron .,the worker bought the juice for the wife .,the worker bought the wife the juice .
the employee caught the telephone for the student .,the employee caught the student the telephone .,a pilot showed a motor to a business .,a pilot showed a business a motor .
an attorney gave a pie to a mayor .,an attorney gave a mayor a pie .,the physician designed the bowl for the employee .,the physician designed the employee the bowl .
a wife fed a cheese to a mayor .,a wife fed a mayor a cheese .,the father caught the gun for the child .,the father caught the child the gun .
a lady purchased a chocolate for a club .,a lady purchased a club a chocolate .,the cop brought the machine to the champion .,the cop brought the champion the machine .
the student purchased the cheese for the club .,the student purchased the club the cheese .,a child sent a juice to a daughter .,a child sent a daughter a juice .
the boy gave the guitar to the king .,the boy gave the king the guitar .,a guest saved a box for an army .,a guest saved an army a box .
the father caught the ball for the nurse .,the father caught the nurse the ball .,a girl showed a pie to an author .,a girl showed an author a pie .
a king showed a juice to a company .,a king showed a company a juice .,the father found the chocolate for the winner .,the father found the winner the chocolate .
an employee caught an iron for a champion .,an employee caught a champion an iron .,the physician brought the candy to the child .,the physician brought the child the candy .
a buddy showed a chicken to a club .,a buddy showed a club a chicken .,the teacher kept the chocolate for the army .,the teacher kept the army the chocolate .
a buddy made a bottle for a reader .,a buddy made a reader a bottle .,the leader sent the chicken to the corporation .,the leader sent the corporation the chicken .
the princess made the camera for the club .,the princess made the club the camera .,a reader gave a coffee to a corporation .,a reader gave a corporation a coffee .
the doctor sold the chicken to the band .,the doctor sold the band the chicken .,a soldier caught a bag for a minister .,a soldier caught a minister a bag .
the manager made the bottle for the band .,the manager made the band the bottle .,an employer sold a computer to a club .,an employer sold a club a computer .
an opponent made an engine for a company .,an opponent made a company an engine .,the singer gave the bowl to the prince .,the singer gave the prince the bowl .
the president purchased the coffee for the band .,the president purchased the band the coffee .,a doctor promised a juice to an attorney .,a doctor promised an attorney a juice .
the president caught the iron for the cop .,the president caught the cop the iron .,a priest supplied a plate to a friend .,a priest supplied a friend a plate .
a prince left a coat for an uncle .,a prince left an uncle a coat .,the leader sent the salad to the candidate .,the leader sent the candidate the salad .
a mother sold a chocolate to a band .,a mother sold a band a chocolate .,the president got the meal for the lady .,the president got the lady the meal .
the boy brought the tea to the lawyer .,the boy brought the lawyer the tea .,an employee designed a machine for an opponent .,an employee designed an opponent a machine .
the scientist purchased the pie for the friend .,the scientist purchased the friend the pie .,an adult promised a coffee to a king .,an adult promised a king a coffee .
the father bought the juice for the secretary .,the father bought the secretary the juice .,an opponent promised a jacket to a guest .,an opponent promised a guest a jacket .
the father purchased the pie for the opponent .,the father purchased the opponent the pie .,a singer supplied a cheese to a band .,a singer supplied a band a cheese .
an author took a jacket to a bishop .,an author took a bishop a jacket .,the guest bought the coffee for the father .,the guest bought the father the coffee .
the nurse left the tea for the daughter .,the nurse left the daughter the tea .,a student threw a jacket to a priest .,a student threw a priest a jacket .
the lady promised the beer to the champion .,the lady promised the champion the beer .,an actress left a cheese for a kid .,an actress left a kid a cheese .
the opponent sold the iron to the army .,the opponent sold the army the iron .,a priest got a chocolate for an administration .,a priest got an administration a chocolate .
a kid delivered a candy for a priest .,a kid delivered a priest a candy .,the aunt fed the chicken to the girl .,the aunt fed the girl the chicken .
a king supplied a coffee to a band .,a king supplied a band a coffee .,the sheriff bought the pie for the writer .,the sheriff bought the writer the pie .
the soldier purchased the coffee for the guy .,the soldier purchased the guy the coffee .,a teacher gave a machine to a winner .,a teacher gave a winner a machine .
a champion supplied a coffee to a company .,a champion supplied a company a coffee .,the scientist kept the computer for the army .,the scientist kept the army the computer .
a guest kept a salad for an army .,a guest kept an army a salad .,the prince fed the pie to the princess .,the prince fed the princess the pie .
the winner sent the beer to the band .,the winner sent the band the beer .,a worker saved a book for a partner .,a worker saved a partner a book .
an employee threw a tea to a priest .,an employee threw a priest a tea .,the attorney saved the beer for the administration .,the attorney saved the administration the beer .
the uncle drew the plate for the adult .,the uncle drew the adult the plate .,a professor brought a pie to a company .,a professor brought a company a pie .
a man brought a book to an administration .,a man brought an administration a book .,the colonel left the tea for the band .,the colonel left the band the tea .
a reader drew a gun for an employer .,a reader drew an employer a gun .,the man took the ball to the lady .,the man took the lady the ball .
a secretary sold a meal to a lawyer .,a secretary sold a lawyer a meal .,the cousin left the chicken for the club .,the cousin left the club the chicken .
a teacher purchased a coffee for a guy .,a teacher purchased a guy a coffee .,the candidate brought the bag to the leader .,the candidate brought the leader the bag .
the kid left the pie for the band .,the kid left the band the pie .,a wife threw a meal to an author .,a wife threw an author a meal .
a cousin promised a telephone to an employer .,a cousin promised an employer a telephone .,the manager made the ball for the army .,the manager made the army the ball .
an adult promised a pie to an attorney .,an adult promised an attorney a pie .,the captain delivered the coffee for the actress .,the captain delivered the actress the coffee .
a professor purchased a box for an author .,a professor purchased an author a box .,the secretary gave the candy to the worker .,the secretary gave the worker the candy .
a candidate bought a tea for a daughter .,a candidate bought a daughter a tea .,the nurse gave the beer to the manager .,the nurse gave the manager the beer .
the writer saved the meal for the administration .,the writer saved the administration the meal .,a priest promised a juice to a guest .,a priest promised a guest a juice .
the singer kept the button for the band .,the singer kept the band the button .,a teacher showed a juice to a club .,a teacher showed a club a juice .
a winner sold a salad to a princess .,a winner sold a princess a salad .,the professor got the pie for the employer .,the professor got the employer the pie .
a professor kept a juice for a business .,a professor kept a business a juice .,the aunt sent the flower to the administration .,the aunt sent the administration the flower .
a partner promised an anchor to a man .,a partner promised a man an anchor .,the actress drew the plate for the army .,the actress drew the army the plate .
a mayor purchased a gun for a corporation .,a mayor purchased a corporation a gun .,the physician sent the cheese to the mother .,the physician sent the mother the cheese .
a priest threw a juice to a king .,a priest threw a king a juice .,the woman designed the button for the partner .,the woman designed the partner the button .
an author supplied a log to an administration .,an author supplied an administration a log .,the scientist drew the bowl for the lady .,the scientist drew the lady the bowl .
a captain got a coffee for an uncle .,a captain got an uncle a coffee .,the brother threw the cheese to the cop .,the brother threw the cop the cheese .
the employee supplied the coffee to the club .,the employee supplied the club the coffee .,a kid made a key for an administration .,a kid made an administration a key .
a prince made a key for a wife .,a prince made a wife a key .,the girl threw the beer to the employer .,the girl threw the employer the beer .
the hero made the gun for the worker .,the hero made the worker the gun .,a cousin sold a plate to a president .,a cousin sold a president a plate .
a worker purchased a beer for a leader .,a worker purchased a leader a beer .,the cousin promised the key to the student .,the cousin promised the student the key .
a girl brought a guitar to a band .,a girl brought a band a guitar .,the manager kept the beer for the business .,the manager kept the business the beer .
the prince purchased the tea for the bishop .,the prince purchased the bishop the tea .,a cousin brought a beer to an administration .,a cousin brought an administration a beer .
a professor showed a juice to an army .,a professor showed an army a juice .,the prince found the cheese for the princess .,the prince found the princess the cheese .
the girl threw the juice to the parent .,the girl threw the parent the juice .,a princess got a machine for a business .,a princess got a business a machine .
